entity_from_id,edge_strength,entity_to_id
E_0000033648,STRONG,E_0000229213
E_0000033648,WEAK,E_0000061643
E_0000033648,MEDIUM,E_0000158512
E_0000033648,WEAK,E_0000174438
E_0000017290,STRONG,E_0000243547
E_0000017290,MEDIUM,E_0000243546
E_0000017290,STRONG,E_0000176866
E_0000017290,MEDIUM,E_0000159784
E_0000017290,WEAK,E_0000229213
E_0000169624,MEDIUM,E_0000153529
E_0000169624,STRONG,E_0000243547
E_0000169624,STRONG,E_0000243546
E_0000169624,STRONG,E_0000202339
E_0000169624,STRONG,E_0000159784
E_0000169624,MEDIUM,E_0000176866
E_0000169624,MEDIUM,E_0000140575
E_0000209427,STRONG,E_0000159784
E_0000209427,MEDIUM,E_0000059696
E_0000209427,MEDIUM,E_0000177852
E_0000209427,STRONG,E_0000243547
E_0000209427,STRONG,E_0000243546
E_0000209427,MEDIUM,E_0000236091
E_0000209427,WEAK,E_0000063555
E_0000171373,STRONG,E_0000176866
E_0000171373,STRONG,E_0000243546
E_0000171373,STRONG,E_0000243547
E_0000171373,STRONG,E_0000229213
E_0000171373,MEDIUM,E_0000059696
E_0000144881,WEAK,E_0000286906
E_0000144881,STRONG,E_0000198204
E_0000033648,MEDIUM,E_0000119575
E_0000033648,STRONG,E_0000197690
E_0000033648,STRONG,E_0000161336
E_0000033648,STRONG,E_0000240249
E_0000017290,STRONG,E_0000243547
E_0000017290,STRONG,E_0000176866
E_0000017290,STRONG,E_0000180061
E_0000017290,MEDIUM,E_0000243546
E_0000017290,STRONG,E_0000202339
E_0000017290,STRONG,E_0000144422
E_0000017290,STRONG,E_0000122651
E_0000017290,STRONG,E_0000161336
E_0000017290,STRONG,E_0000092077
E_0000017290,STRONG,E_0000298652
E_0000017290,STRONG,E_0000035602
E_0000017290,STRONG,E_0000001877
E_0000017290,STRONG,E_0000015097
E_0000017290,STRONG,E_0000108078
E_0000169624,STRONG,E_0000243547
E_0000169624,STRONG,E_0000243546
E_0000169624,STRONG,E_0000174104
E_0000169624,STRONG,E_0000159784
E_0000169624,STRONG,E_0000115287
E_0000169624,MEDIUM,E_0000073327
E_0000061474,WEAK,E_0000133868
E_0000061474,STRONG,E_0000002795
E_0000061474,MEDIUM,E_0000002446
E_0000061474,STRONG,E_0000256682
E_0000061474,STRONG,E_0000002453
E_0000061474,STRONG,E_0000047084
E_0000061474,STRONG,E_0000193399
E_0000061474,STRONG,E_0000144881
E_0000061474,STRONG,E_0000240249
E_0000061474,STRONG,E_0000226803
E_0000061474,STRONG,E_0000157709
E_0000061474,WEAK,E_0000229213
E_0000061474,STRONG,E_0000206270
E_0000061474,MEDIUM,E_0000149498
E_0000061474,WEAK,E_0000002432
E_0000061474,STRONG,E_0000061663
E_0000209427,STRONG,E_0000058209
E_0000209427,STRONG,E_0000243547
E_0000209427,MEDIUM,E_0000159929
E_0000209427,MEDIUM,E_0000208477
E_0000209427,MEDIUM,E_0000037446
E_0000209427,MEDIUM,E_0000143520
E_0000209427,WEAK,E_0000203090
E_0000209427,MEDIUM,E_0000071302
E_0000209427,WEAK,E_0000156063
E_0000209427,WEAK,E_0000154653
E_0000209427,STRONG,E_0000134536
E_0000209427,WEAK,E_0000125943
E_0000209427,MEDIUM,E_0000177852
E_0000209427,STRONG,E_0000159784
E_0000209427,MEDIUM,E_0000115287
E_0000209427,WEAK,E_0000202446
E_0000209427,STRONG,E_0000035749
E_0000209427,STRONG,E_0000122651
E_0000209427,STRONG,E_0000283550
E_0000209427,MEDIUM,E_0000133525
E_0000209427,WEAK,E_0000309333
E_0000209427,STRONG,E_0000262377
E_0000209427,MEDIUM,E_0000217697
E_0000209427,MEDIUM,E_0000165979
E_0000209427,MEDIUM,E_0000142383
E_0000209427,MEDIUM,E_0000039563
E_0000209427,WEAK,E_0000133299
E_0000171373,STRONG,E_0000243547
E_0000171373,STRONG,E_0000184738
E_0000171373,STRONG,E_0000243546
E_0000171373,STRONG,E_0000202339
E_0000171373,STRONG,E_0000172190
E_0000171373,STRONG,E_0000144422
E_0000171373,STRONG,E_0000090967
E_0000171373,STRONG,E_0000035602
E_0000171373,STRONG,E_0000128747
E_0000144881,STRONG,E_0000036762
E_0000144881,STRONG,E_0000245048
E_0000144881,STRONG,E_0000120769
E_0000144881,WEAK,E_0000154653
E_0000144881,STRONG,E_0000154150
E_0000144881,STRONG,E_0000002446
E_0000144881,STRONG,E_0000177852
E_0000144881,STRONG,E_0000044232
E_0000144881,STRONG,E_0000133296
E_0000144881,STRONG,E_0000217697
E_0000144881,STRONG,E_0000240249
E_0000144881,WEAK,E_0000002432
E_0000144881,WEAK,E_0000061663
E_0000144881,STRONG,E_0000149498
E_0000144881,MEDIUM,E_0000311571
E_0000144881,WEAK,E_0000206270
E_0000144881,STRONG,E_0000002446
E_0000144881,WEAK,E_0000144440
E_0000144881,WEAK,E_0000133868
E_0000144881,MEDIUM,E_0000229213
E_0000035279,STRONG,E_0000116899
E_0000035279,WEAK,E_0000078325
E_0000035279,WEAK,E_0000130052
E_0000035279,STRONG,E_0000226803
E_0000035279,STRONG,E_0000001877
E_0000035279,STRONG,E_0000143071
E_0000035279,STRONG,E_0000176866
E_0000035279,WEAK,E_0000142141
E_0000035279,STRONG,E_0000243546
E_0000035279,STRONG,E_0000243547
E_0000035279,STRONG,E_0000116899
E_0000271342,STRONG,E_0000058209
E_0000271342,WEAK,E_0000243547
E_0000271342,WEAK,E_0000102316
E_0000271342,STRONG,E_0000063595
E_0000271342,STRONG,E_0000002437
E_0000271342,WEAK,E_0000078325
E_0000271342,STRONG,E_0000159784
E_0000271342,STRONG,E_0000115287
E_0000271342,STRONG,E_0000158512
E_0000271342,STRONG,E_0000122651
E_0000271342,STRONG,E_0000240249
E_0000271342,MEDIUM,E_0000176866
E_0000271342,STRONG,E_0000243546
E_0000271342,STRONG,E_0000115287
E_0000271342,STRONG,E_0000159784
E_0000061800,MEDIUM,E_0000243547
E_0000061800,MEDIUM,E_0000243546
E_0000061800,STRONG,E_0000159784
E_0000061800,STRONG,E_0000133514
E_0000061800,STRONG,E_0000209427
E_0000061800,MEDIUM,E_0000046980
E_0000061800,WEAK,E_0000115287
E_0000061800,STRONG,E_0000159784
E_0000190866,MEDIUM,E_0000286906
E_0000190866,STRONG,E_0000131791
E_0000190866,MEDIUM,E_0000068444
E_0000190866,MEDIUM,E_0000144991
E_0000190866,STRONG,E_0000144021
E_0000190866,STRONG,E_0000174333
E_0000190866,STRONG,E_0000017629
E_0000190866,MEDIUM,E_0000116946
E_0000190866,WEAK,E_0000140575
E_0000190866,MEDIUM,E_0000286906
E_0000190866,STRONG,E_0000131791
E_0000190866,WEAK,E_0000130559
E_0000190866,WEAK,E_0000206270
E_0000190866,MEDIUM,E_0000226788
E_0000190866,STRONG,E_0000017629
E_0000017541,MEDIUM,E_0000243547
E_0000017541,STRONG,E_0000063640
E_0000017541,STRONG,E_0000149498
E_0000017541,STRONG,E_0000153529
E_0000017541,STRONG,E_0000127725
E_0000017541,STRONG,E_0000065829
E_0000017541,STRONG,E_0000116269
E_0000017541,STRONG,E_0000174995
E_0000017541,STRONG,E_0000028774
E_0000017541,STRONG,E_0000025921
E_0000017541,STRONG,E_0000103904
E_0000017541,STRONG,E_0000149498
E_0000017541,STRONG,E_0000229213
E_0000017541,MEDIUM,E_0000243547
E_0000017541,MEDIUM,E_0000243546
E_0000017541,STRONG,E_0000063640
E_0000017541,STRONG,E_0000130559
E_0000165964,STRONG,E_0000165964
E_0000165964,MEDIUM,E_0000154977
E_0000165964,STRONG,E_0000057015
E_0000165964,STRONG,E_0000079287
E_0000165964,STRONG,E_0000036798
E_0000165964,STRONG,E_0000114762
E_0000165964,MEDIUM,E_0000130559
E_0000165964,STRONG,E_0000286906
E_0000165964,STRONG,E_0000179633
E_0000161802,STRONG,E_0000171675
E_0000161802,STRONG,E_0000172435
E_0000161802,MEDIUM,E_0000102316
E_0000161802,WEAK,E_0000177852
E_0000161802,STRONG,E_0000159784
E_0000161802,STRONG,E_0000188740
E_0000161802,WEAK,E_0000217680
E_0000161802,STRONG,E_0000122651
E_0000161802,MEDIUM,E_0000210647
E_0000161802,MEDIUM,E_0000129367
E_0000161802,MEDIUM,E_0000161490
E_0000161802,MEDIUM,E_0000153529
E_0000161802,MEDIUM,E_0000102316
E_0000161802,STRONG,E_0000243547
E_0000161802,STRONG,E_0000243546
E_0000161802,WEAK,E_0000217680
E_0000161802,STRONG,E_0000159784
E_0000164894,STRONG,E_0000243547
E_0000164894,STRONG,E_0000172261
E_0000164894,STRONG,E_0000130559
E_0000164894,STRONG,E_0000149498
E_0000164894,STRONG,E_0000243546
E_0000164894,STRONG,E_0000002446
E_0000164894,WEAK,E_0000044919
E_0000164894,STRONG,E_0000140575
E_0000164894,STRONG,E_0000133868
E_0000164894,STRONG,E_0000293593
E_0000164894,STRONG,E_0000174995
E_0000164894,STRONG,E_0000116269
E_0000164894,STRONG,E_0000028774
E_0000164894,STRONG,E_0000133868
E_0000164894,STRONG,E_0000243546
E_0000164894,MEDIUM,E_0000229213
E_0000164894,STRONG,E_0000243547
E_0000164894,STRONG,E_0000202339
E_0000164894,STRONG,E_0000002446
E_0000164894,STRONG,E_0000002432
E_0000164894,STRONG,E_0000149498
E_0000033648,STRONG,E_0000287783
E_0000017290,STRONG,E_0000115845
E_0000209427,STRONG,E_0000158512
E_0000209427,MEDIUM,E_0000097537
E_0000209427,MEDIUM,E_0000097554
E_0000209427,WEAK,E_0000127072
E_0000209427,WEAK,E_0000176016
E_0000209427,MEDIUM,E_0000140511
E_0000209427,WEAK,E_0000202448
E_0000209427,MEDIUM,E_0000313308
E_0000171373,STRONG,E_0000324831
E_0000171373,MEDIUM,E_0000313308
E_0000144881,STRONG,E_0000139102
E_0000144881,STRONG,E_0000256682
E_0000035279,STRONG,E_0000313308
E_0000035279,WEAK,E_0000163803
E_0000035279,STRONG,E_0000313308
E_0000271342,STRONG,E_0000150757
E_0000061800,STRONG,E_0000150757
E_0000190866,STRONG,E_0000119348
E_0000190866,STRONG,E_0000133812
E_0000190866,MEDIUM,E_0000202359
E_0000190866,STRONG,E_0000174333
